Activity,MP,LIME,GRADCAM
Read,"I predicted that Fabio was READING mainly because, for the last six minutes, he has been on the armchair in the living area","I predicted that Fabio was READING mainly because, for the last six minutes, he has been on the armchair in the living area. Furthermore, immediately before this activity, Fabio slept after watching TV","I predicted that Fabio was READING mainly because, for the last six minutes, he has been on the armchair in the living area. Furthermore, immediately before this activity, Fabio watched TV and then slept"
Sleep,"I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been near the bed, on the bed and near the bedroom closet. Also, right before this activity, Gaia read","I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been near the bed and on the bed","I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been near the bed, on the bed and near the bedroom closet. Furthermore, immediately before this activity, Gaia performed a cooking-related activity and then read"
Sleep,"I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been on the bed","I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been on the bed","I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been on the bed. Furthermore, immediately before this activity, Gaia read and then watched TV"
Sleep,"I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been on the bed","I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been near the bed and on the bed","I predicted that Gaia was SLEEPING mainly because, for the last six minutes, she has been on the bed, near the bed, near the bathroom sink and near the bedroom closet. Additionally, immediately before this activity, Gaia performed a personal hygiene activity after performing a cooking-related activity"
Watch_TV,"I predicted that Ilaria was WATCHING TV mainly because, for the last six minutes, she has been in the armchair in the TV/desk room","I predicted that Ilaria was WATCHING TV mainly because, for the last six minutes, she has been in the armchair in the TV/desk room","I predicted that Ilaria was WATCHING TV mainly because, for the last six minutes, she has been in the armchair in the TV/desk room. Furthermore, immediately before this activity, Ilaria performed a cooking-related activity after reading"
Watch_TV,"I predicted that Ilaria was WATCHING TV mainly because, for the last six minutes, she has been in the armchair in the TV/desk room","I predicted that Ilaria was WATCHING TV mainly because, for the last six minutes, she has been in the armchair in the TV/desk room","I predicted that Ilaria was WATCHING TV mainly because, for the last six minutes, she has been in the armchair in the TV/desk room. Furthermore, immediately before this activity, Ilaria got ready in the bedroom and then carried out a personal hygiene activity"
Watch_TV,"I predicted that Ilaria was WATCHING TV mainly because, in the last six minutes, she has been in the living area, between the living area and the TV/desk room and on the armchair in the TV/desk room","I predicted that Ilaria was WATCHING TV mainly because, in the last six minutes, she has been near the desk and on the armchair in the TV/desk room","I predicted that Ilaria was WATCHING TV mainly because, for the last six minutes, she has been in the armchair in the TV/desk room. Furthermore, immediately before this activity, Ilaria performed a cooking-related activity after reading"
Work,"I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk in the TV/desk room. Furthermore, immediately before this activity, Luca read","I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk in the TV/desk room. Furthermore, immediately before this activity, Luca performed a cooking-related activity and then read","I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk in the TV/desk room. Furthermore, immediately before this activity, Luca performed a cooking-related activity and then read"
Work,"I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk and on the armchair in the TV/desk room","I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk in the TV/desk room","I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk and in the armchair in the TV/desk room. Furthermore, immediately before this activity, Luca performed a personal hygiene activity after completing a cooking-related activity"
Work,"I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk and on the armchair in the TV/desk room","I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk in the TV/desk room","I predicted that Luca was WORKING mainly because, for the last six minutes, he has been near the desk and on the armchair in the room
TV/desk. Furthermore, immediately before this activity, Luca performed a personal hygiene activity before carrying out a cooking-related activity"
