Activity,MP,LIME,GRADCAM
LEAVING_HOME,I predicted LEAVING HOME mainly because Fabio performed hand gestures (probably to put on his coat) while he was in the hall ,I predicted LEAVING HOME mainly because no longer detected Fabio's presence in the home after he was in the hall,I predicted LEAVING HOME mainly because no longer detected Fabio's presence in the home after he was in the hall
MAKING_PHONE_CALL,I predicted MAKING A PHONE CALL mainly because Gaia was in the office while she was sitting at the desk chair,I predicted MAKING A PHONE CALL mainly because I detected an outgoing call from Gaia's phone,I predicted MAKING A PHONE CALL mainly because Gaia was in the office while she was sitting at the desk chair
MAKING_PHONE_CALL,I predicted MAKING A PHONE CALL mainly because I detected an outgoing call from Gaia's phone,I predicted MAKING A PHONE CALL mainly because I detected an outgoing call from Gaia's phone,I predicted MAKING A PHONE CALL mainly because Gaia was in the hall after being in the medicine area
MAKING_PHONE_CALL,I predicted MAKING A PHONE CALL mainly because I detected an outgoing call from Gaia's phone,I predicted MAKING A PHONE CALL mainly because I detected an outgoing call from Gaia's phone,"I predicted MAKING A PHONE CALL mainly because Gaia walked through the living room, the hall, and the medicine area"
PREPARING_COLD_MEAL,I predicted PREPARING A COLD MEAL mainly because Ilaria was in the kitchen,I predicted PREPARING A COLD MEAL mainly because the cutlery drawer was open,I predicted PREPARING A COLD MEAL mainly because the cutlery drawer was open
PREPARING_COLD_MEAL,I predicted PREPARING A COLD MEAL mainly because Ilaria repeatedly performed hand gestures while she was in the kitchen,I predicted PREPARING A COLD MEAL mainly because Ilaria repeatedly perform hand gestures to open and close the pantry ,I predicted PREPARING A COLD MEAL mainly because Ilaria repeatedly performed hand gestures
PREPARING_COLD_MEAL,I predicted PREPARING A COLD MEAL mainly because Ilaria repeatedly performed hand gestures while she was in the kitchen,I predicted PREPARING A COLD MEAL mainly because the fridge was open while Ilaria was in the kitchen,I predicted PREPARING A COLD MEAL mainly because Ilaria repeatedly performed hand gestures
SETTING_UP_TABLE,I predicted SETTING UP TABLE mainly because Luca repeatedly performed hand gestures while he was in the dining room,I predicted SETTING UP TABLE mainly because Luca has just cooked,"I predicted SETTING UP TABLE mainly because was in the dining room and in the kitchen, and he also has just cooked. I also noticed that Luca was sitting on a dining room chair"
SETTING_UP_TABLE,I predicted SETTING UP TABLE mainly because Luca repeatedly performed hand gestures while he was in the dining room and in the kitchen,I predicted SETTING UP TABLE mainly because Luca was in the dining room,I predicted SETTING UP TABLE mainly because Luca was in the dining room and in the kitchen
SETTING_UP_TABLE,I predicted SETTING UP TABLE mainly because Luca repeatedly performed hand gestures while he was in the kitchen,I predicted SETTING UP TABLE mainly because Luca has just cooked,I predicted SETTING UP TABLE mainly because Luca has just cooked and he has been in the dining room and in the kitchen
TAKING_MEDICINES,I predicted TAKING MEDICINES mainly because Maria repeatedly performed hand gestures while he was in the kitchen,I predicted TAKING MEDICINES mainly because Maria has been in the medicine area,I predicted TAKING MEDICINES mainly because Maria has been in the hall after being in the medicine area. I also noticed that she had just entered home
TAKING_MEDICINES,I predicted TAKING MEDICINES mainly because Maria repeatedly performed hand gestures,I predicted TAKING MEDICINES mainly because the medicine drawer was open,I predicted TAKING MEDICINES mainly because Maria has been in the medicine area and she previously had a phone call
TAKING_MEDICINES,I predicted TAKING MEDICINES mainly because Maria repeatedly performed hand gestures,I predicted TAKING MEDICINES mainly because Maria was in the medicine area while the medicine drawer was open,I predicted TAKING MEDICINES mainly because Maria has been in the medicine area and she previously had a phone call
WORKING,I predicted WORKING mainly because Nadia was in the office while sitting on the desk chair,I predicted WORKING mainly because Nadia was sitting on the desk chair while she was in the office,"I predicted WORKING mainly because Nadia was in the office before going to the living room, and she was sitting on the desk chair"
WASHING_DISHES,I predicted WASHING DISHES mainly because Omar was in the kitchen while he was repeatedly performing hand gestures (probably in front of the sink),I predicted WASHING DISHES mainly because Omar just finished to eat,"I predicted Washing the Dishes with a 88% of probability mainly because Bob had just set up the table and eaten, and he was in the kitchen "
WASHING_DISHES,I predicted WASHING DISHES mainly because Omar was in the kitchen,I predicted WASHING DISHES mainly because Omar just finished to eat,"I predicted Washing the Dishes with a 88% of probability mainly because Bob had just set up the table and eaten, and he was in the kitchen "
WATCHING_TV,I predicted WATCHING TV mainly because Paola was in the living room while sitting on the sofa and the TV was ON,I predicted WATCHING TV mainly because Paola was sitting on the sofa,I predicted WATCHING TV mainly because Paola just finished to eat and she was in the living room. I also noticed that Paola was sitting on the sofa
WATCHING_TV,I predicted WATCHING TV mainly because Paola was sitting on the sofa while she was in the living room,I predicted WATCHING TV mainly because Paola was sitting on the sofa,I predicted WATCHING TV mainly because Paola just finished to eat and she was in the living room. I also noticed that Paola was sitting on the sofa
WATCHING_TV,I predicted WATCHING TV mainly because Paola was in the living room while sitting on the sofa and the TV was ON,I predicted WATCHING TV mainly because Paola was sitting on the sofa,I predicted WATCHING TV mainly because Paola was in the living room while sitting on the sofa. I also noticed that Paola recently entered home
